##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	combined_r1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	431524809
Sequences flagged as poor quality	0
Sequence length	20
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.04052427956697	32.0	32.0	32.0	32.0	32.0
2	31.39996669345609	32.0	32.0	32.0	32.0	32.0
3	31.52389506995877	32.0	32.0	32.0	32.0	32.0
4	31.61127769133663	32.0	32.0	32.0	32.0	32.0
5	31.588961407778527	32.0	32.0	32.0	32.0	32.0
6	35.13110498821865	36.0	36.0	36.0	36.0	36.0
7	35.09178718853219	36.0	36.0	36.0	36.0	36.0
8	35.087613488753085	36.0	36.0	36.0	36.0	36.0
9	35.08460903113452	36.0	36.0	36.0	36.0	36.0
10	35.095190559484145	36.0	36.0	36.0	36.0	36.0
11	35.1141311645885	36.0	36.0	36.0	36.0	36.0
12	35.1373464068899	36.0	36.0	36.0	36.0	36.0
13	35.132416954502375	36.0	36.0	36.0	36.0	36.0
14	35.12348860109223	36.0	36.0	36.0	36.0	36.0
15	35.114359420294655	36.0	36.0	36.0	36.0	36.0
16	35.11114418221086	36.0	36.0	36.0	36.0	36.0
17	35.092543191415906	36.0	36.0	36.0	36.0	36.0
18	35.09802490869071	36.0	36.0	36.0	36.0	36.0
19	35.09240603591809	36.0	36.0	36.0	36.0	36.0
20	35.14753592533309	36.0	36.0	36.0	36.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.06007478414830203
11101	2	-0.039354742907807605
11101	3	-0.06288496741352745
11101	4	-0.05485061653206458
11101	5	-0.0631789718527287
11101	6	-0.12638928092138002
11101	7	-0.12816478830496436
11101	8	-0.10341139321972292
11101	9	-0.11136528284917091
11101	10	-0.12675102582612396
11101	11	-0.12349121623388726
11101	12	-0.13112637217309242
11101	13	-0.08774598174453985
11101	14	-0.14833780390788576
11101	15	-0.11939605720202451
11101	16	-0.09530463591710969
11101	17	-0.18618943091927775
11101	18	-0.07274782676575597
11101	19	-0.27505875271314295
11101	20	-0.13542642858010367
11102	1	-0.04465248530341981
11102	2	-0.06741221316645962
11102	3	-0.06968767039531443
11102	4	-0.05585175577451196
11102	5	-0.04113397759354953
11102	6	-0.14041482329145083
11102	7	-0.11983430433171094
11102	8	-0.09353847998283982
11102	9	-0.09100742406780427
11102	10	-0.11847433619239212
11102	11	-0.087097085544805
11102	12	-0.0804727510490082
11102	13	-0.0903550682648202
11102	14	-0.11393840021084856
11102	15	-0.11393564189117455
11102	16	-0.09251842058546345
11102	17	-0.06008150368008813
11102	18	-0.05610531542016162
11102	19	-0.10480625241766006
11102	20	-0.0876186060911266
11103	1	0.017579383493110612
11103	2	-0.04130435458162651
11103	3	-0.05204724031305119
11103	4	-0.03309131525495701
11103	5	-0.041001174394356354
11103	6	-0.09014489228095357
11103	7	-0.08952309939785863
11103	8	-0.08299093345957687
11103	9	-0.07195376048653657
11103	10	-0.08031464960463097
11103	11	-0.1532052223746021
11103	12	-0.19487486672091592
11103	13	-0.11620661280990419
11103	14	-0.0839192227664185
11103	15	-0.07283682508007416
11103	16	-0.14260879508177027
11103	17	-0.04276837075793338
11103	18	-0.042683491106870974
11103	19	-0.08821779658847362
11103	20	-0.050679155425250144
11104	1	-0.05512902920240137
11104	2	-0.018281215688659813
11104	3	-0.018140706262126827
11104	4	-0.019647157471979426
11104	5	-0.023456170329001935
11104	6	-0.08147028094622755
11104	7	-0.07652092929516385
11104	8	-0.05230137963844328
11104	9	-0.05904344196989797
11104	10	-0.06250910438348001
11104	11	-0.021232412564039294
11104	12	-0.035267233929438646
11104	13	-0.06190569490633635
11104	14	-0.06542964545587893
11104	15	-0.06322931050465996
11104	16	-0.0729659739434112
11104	17	-0.03318001694955797
11104	18	-0.060541538885118484
11104	19	-0.014096977456468096
11104	20	-0.06736073239316198
11105	1	-0.0480898627949955
11105	2	-0.02064705173835435
11105	3	-0.030315136250024466
11105	4	-0.035929538625229185
11105	5	-0.0307143295089638
11105	6	-0.08119576192852662
11105	7	-0.09739463790201341
11105	8	-0.07162002944556889
11105	9	-0.10057942908778728
11105	10	-0.0901431786596163
11105	11	-0.055365897184266544
11105	12	-0.0649437895820455
11105	13	-0.04904706561396921
11105	14	-0.08046174569113163
11105	15	-0.023394884870626242
11105	16	-0.031601949294433496
11105	17	-0.04393942903659109
11105	18	-0.03983979702961449
11105	19	-0.005994046044598633
11105	20	-0.03824643495608626
11106	1	0.005011018550149515
11106	2	-0.03196821737434519
11106	3	-0.006776082453342269
11106	4	-0.010412271527922456
11106	5	-0.020530295626077333
11106	6	-0.07356760796994877
11106	7	-0.04458352535912269
11106	8	-0.07051182466364736
11106	9	-0.06579543507034913
11106	10	-0.041145772731205454
11106	11	-0.025873958508555006
11106	12	-0.02154312709342321
11106	13	-0.11951059240492157
11106	14	-0.04581289722379722
11106	15	-0.02595776341264866
11106	16	-0.05425858795955918
11106	17	-0.0308816967157739
11106	18	-0.050424457685544155
11106	19	-0.04417594224425869
11106	20	-0.014674188911428132
11107	1	-0.02682195174035229
11107	2	-0.044157814947283214
11107	3	-0.033083567129128966
11107	4	-0.02006946483245997
11107	5	-0.025656938466571688
11107	6	-0.08598403259460241
11107	7	-0.06252326659024021
11107	8	-0.05972388188185107
11107	9	-0.08189081109451735
11107	10	-0.08564356987826471
11107	11	-0.035287122734764864
11107	12	-0.06480934304013886
11107	13	-0.05798491238519432
11107	14	-0.07179501602155369
11107	15	-0.08539507782219857
11107	16	-0.038740719014910496
11107	17	-0.05420887328455848
11107	18	-0.10869618137041215
11107	19	-0.09821148063972629
11107	20	-0.04090195046825329
11108	1	-0.09323973669673435
11108	2	-0.017091220851220612
11108	3	-0.009393274180723665
11108	4	-0.022864992120680938
11108	5	-0.026482559754658297
11108	6	-0.07771693899393739
11108	7	-0.016125438106406875
11108	8	-0.08547224115390151
11108	9	-0.049685732454634035
11108	10	-0.0819382132762243
11108	11	-0.05977421986567322
11108	12	-0.029413322945451625
11108	13	-0.05068633360426844
11108	14	-0.05672565729550172
11108	15	-0.08677432941929908
11108	16	-0.08119266855968021
11108	17	-0.06903739151331933
11108	18	-0.08563691031351084
11108	19	-0.0993023103083388
11108	20	-0.05602610446779721
11109	1	-0.01255791677075635
11109	2	-0.015025671320682221
11109	3	-0.023036259515162527
11109	4	-0.021434969922889735
11109	5	-0.005732780579403851
11109	6	-0.049626009347370825
11109	7	-0.04840460755958986
11109	8	-0.058358955356780484
11109	9	-0.04540289887584947
11109	10	-0.043827437243564304
11109	11	-0.028197985737193676
11109	12	-0.038070498607652326
11109	13	-0.019272821521099104
11109	14	-0.02735220729518062
11109	15	-0.007684075828493064
11109	16	-0.06006694477126473
11109	17	-0.06119940621339737
11109	18	-0.04310717892193594
11109	19	-0.042019779830383186
11109	20	-0.020639097943494278
11110	1	-0.056808624207391745
11110	2	-0.034868785797343094
11110	3	-0.019259180049612468
11110	4	-0.04009507460168038
11110	5	-0.04998658815382839
11110	6	-0.04783051847617514
11110	7	-0.052030609030971675
11110	8	-0.11837077604401713
11110	9	-0.04589448193058132
11110	10	-0.04589637796025414
11110	11	-0.01012040559666616
11110	12	-0.0404702549385334
11110	13	-0.037288468084902604
11110	14	-0.027098405703554818
11110	15	-0.04183083127360021
11110	16	-0.03743188456684976
11110	17	-0.03208446145610111
11110	18	-0.05926237862712469
11110	19	-0.05582691290833708
11110	20	-0.006817161533646754
11111	1	-0.06804725125929068
11111	2	-0.012266065063126774
11111	3	-0.014849414466503674
11111	4	-0.018624871115203945
11111	5	-0.026094666473852612
11111	6	-0.06271794865015323
11111	7	-0.08726457673990495
11111	8	-0.05547754518654102
11111	9	-0.05376507734167291
11111	10	-0.05139860914913186
11111	11	-0.036040856643928976
11111	12	0.0013072370895343965
11111	13	-0.02810108793483579
11111	14	-0.041198513340063414
11111	15	-0.033170501752778137
11111	16	-0.031905963357274914
11111	17	-0.006790990387493423
11111	18	-0.011050686083343919
11111	19	-0.07079623802142265
11111	20	-0.017720572183627326
11112	1	-0.029408480996327313
11112	2	-0.011728221663673821
11112	3	-0.0054375119967282615
11112	4	-0.0062818699617679385
11112	5	-0.021553387429801063
11112	6	-0.037188179438203406
11112	7	0.0024930152154851726
11112	8	-0.03214176498344301
11112	9	-0.01843341817754407
11112	10	-0.04044261168942853
11112	11	-0.02894377029276285
11112	12	0.0026773422137296166
11112	13	-0.01622258960005496
11112	14	-0.026544577304342454
11112	15	-0.043482893238554254
11112	16	-0.002488395349310224
11112	17	-0.008160079871487369
11112	18	-0.07747339391121244
11112	19	-0.16162651173821985
11112	20	-0.0037882013048928798
11201	1	-0.03352336650705112
11201	2	0.01586808538350226
11201	3	-0.02009923853544393
11201	4	0.019186292512713976
11201	5	0.01479597371880459
11201	6	0.00833153252726504
11201	7	-0.014130591936108772
11201	8	0.0031803493614717127
11201	9	-0.02420458538436776
11201	10	-0.008795392572352512
11201	11	-4.407901286711535E-4
11201	12	-0.026505067555483208
11201	13	0.00972436523647957
11201	14	0.029668224834644263
11201	15	-0.018200800080947488
11201	16	-0.023582673983504776
11201	17	-0.007961266956016289
11201	18	-0.002302737320576398
11201	19	-0.1212381683844157
11201	20	-0.05709419062407761
11202	1	-0.035359103335533604
11202	2	0.006527167656653177
11202	3	0.003445658460389467
11202	4	-0.0036052780124009587
11202	5	0.02187031575570586
11202	6	0.013277158633400177
11202	7	0.0183408516453909
11202	8	0.023123466645792234
11202	9	0.03229893651463556
11202	10	0.02681133243557099
11202	11	-0.008968583347865433
11202	12	-0.004537966610698163
11202	13	0.004855111006442314
11202	14	-0.03567496928712188
11202	15	0.03683441866738235
11202	16	-0.019154519624102306
11202	17	0.02395839725247839
11202	18	-0.0057832262387478295
11202	19	-0.01789068199435917
11202	20	-0.013907635806468477
11203	1	-0.0455534076727524
11203	2	0.0069755437076644
11203	3	0.0051619651314247506
11203	4	-4.0755651610879795E-5
11203	5	0.007592092714673981
11203	6	-4.2308877533514533E-4
11203	7	-0.020041567691222895
11203	8	-0.013309297080098759
11203	9	-0.015381288063203158
11203	10	-0.03136571430703583
11203	11	-0.0036958690845594333
11203	12	0.00929795927876853
11203	13	0.023034155755631502
11203	14	0.006621088246362206
11203	15	-0.004449352907393234
11203	16	-0.03789373014938491
11203	17	0.011304421058184744
11203	18	-0.0019316117693222168
11203	19	0.016359015692820833
11203	20	0.007273695487128862
11204	1	-0.055533696748611305
11204	2	0.023701503814514524
11204	3	-0.0162909257558006
11204	4	0.006233478953543425
11204	5	0.011329516626563674
11204	6	-0.02547052090461932
11204	7	0.006796819946472965
11204	8	0.005635598302802691
11204	9	-0.003543515193193514
11204	10	-0.02955460063046189
11204	11	0.00720040178758552
